edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.019157923Z level=info msg="Migration successfully executed" id="add time_selection_enabled column" duration=1.961084ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.019769173Z level=info msg="Executing migration" id="delete orphaned public dashboards"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.019823214Z level=info msg="Migration successfully executed" id="delete orphaned public dashboards" duration=53.75µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.020415798Z level=info msg="Executing migration" id="add share column"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.022326339Z level=info msg="Migration successfully executed" id="add share column" duration=1.9105ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.022985006Z level=info msg="Executing migration" id="backfill empty share column fields with default of public"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.023017548Z level=info msg="Migration successfully executed" id="backfill empty share column fields with default of public" duration=33µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.023477923Z level=info msg="Executing migration" id="create file table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.023694173Z level=info msg="Migration successfully executed" id="create file table" duration=216.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.024350881Z level=info msg="Executing migration" id="file table idx: path natural pk"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.024624548Z level=info msg="Migration successfully executed" id="file table idx: path natural pk" duration=273.75µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.025303131Z level=info msg="Executing migration" id="file table idx: parent_folder_path_hash fast folder retrieval"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.025578006Z level=info msg="Migration successfully executed" id="file table idx: parent_folder_path_hash fast folder retrieval" duration=274.875µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.026227839Z level=info msg="Executing migration" id="create file_meta table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.026415131Z level=info msg="Migration successfully executed" id="create file_meta table" duration=187.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.027138173Z level=info msg="Executing migration" id="file table idx: path key"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.027407756Z level=info msg="Migration successfully executed" id="file table idx: path key" duration=269.625µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.028072673Z level=info msg="Executing migration" id="set path collation in file table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.028087048Z level=info msg="Migration successfully executed" id="set path collation in file table" duration=14.584µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.028553214Z level=info msg="Executing migration" id="migrate contents column to mediumblob for MySQL"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.028567423Z level=info msg="Migration successfully executed" id="migrate contents column to mediumblob for MySQL" duration=14.125µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.029156839Z level=info msg="Executing migration" id="managed permissions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.029278256Z level=info msg="Migration successfully executed" id="managed permissions migration" duration=121.541µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.029903964Z level=info msg="Executing migration" id="managed folder permissions alert actions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.029939589Z level=info msg="Migration successfully executed" id="managed folder permissions alert actions migration" duration=35.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.030381964Z level=info msg="Executing migration" id="RBAC action name migrator"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.030641089Z level=info msg="Migration successfully executed" id="RBAC action name migrator" duration=259.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.031222339Z level=info msg="Executing migration" id="Add UID column to playlist"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.033241089Z level=info msg="Migration successfully executed" id="Add UID column to playlist" duration=2.01875ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.033887089Z level=info msg="Executing migration" id="Update uid column values in playlist"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.033914839Z level=info msg="Migration successfully executed" id="Update uid column values in playlist" duration=27.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.034375839Z level=info msg="Executing migration" id="Add index for uid in playlist"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.034659131Z level=info msg="Migration successfully executed" id="Add index for uid in playlist" duration=283.458µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.035300173Z level=info msg="Executing migration" id="update group index for alert rules"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.035393798Z level=info msg="Migration successfully executed" id="update group index for alert rules" duration=93.833µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.035987798Z level=info msg="Executing migration" id="managed folder permissions alert actions repeated migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.036027298Z level=info msg="Migration successfully executed" id="managed folder permissions alert actions repeated migration" duration=39.708µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.036442798Z level=info msg="Executing migration" id="admin only folder/dashboard permission"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.036568423Z level=info msg="Migration successfully executed" id="admin only folder/dashboard permission" duration=125.625µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.037158923Z level=info msg="Executing migration" id="add action column to seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.039232006Z level=info msg="Migration successfully executed" id="add action column to seed_assignment" duration=2.073125ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.039852131Z level=info msg="Executing migration" id="add scope column to seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.041863756Z level=info msg="Migration successfully executed" id="add scope column to seed_assignment" duration=2.011917ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.042451256Z level=info msg="Executing migration" id="remove unique index builtin_role_role_name before nullable update"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.042725173Z level=info msg="Migration successfully executed" id="remove unique index builtin_role_role_name before nullable update" duration=274µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.043335339Z level=info msg="Executing migration" id="update seed_assignment role_name column to nullable"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.064615839Z level=info msg="Migration successfully executed" id="update seed_assignment role_name column to nullable" duration=21.28025ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.065320256Z level=info msg="Executing migration" id="add unique index builtin_role_name back"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.065609089Z level=info msg="Migration successfully executed" id="add unique index builtin_role_name back" duration=289µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.066312756Z level=info msg="Executing migration" id="add unique index builtin_role_action_scope"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.066618006Z level=info msg="Migration successfully executed" id="add unique index builtin_role_action_scope" duration=305.208µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.067368214Z level=info msg="Executing migration" id="add primary key to seed_assigment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.073863589Z level=info msg="Migration successfully executed" id="add primary key to seed_assigment" duration=6.495208ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.074608131Z level=info msg="Executing migration" id="add origin column to seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.076595923Z level=info msg="Migration successfully executed" id="add origin column to seed_assignment" duration=1.987791ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077192131Z level=info msg="Executing migration" id="add origin to plugin seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077250423Z level=info msg="Migration successfully executed" id="add origin to plugin seed_assignment" duration=58.417µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077845298Z level=info msg="Executing migration" id="prevent seeding OnCall access"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.077881131Z level=info msg="Migration successfully executed" id="prevent seeding OnCall access" duration=36µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078321423Z level=info msg="Executing migration" id="managed folder permissions alert actions repeated fixed migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078359798Z level=info msg="Migration successfully executed" id="managed folder permissions alert actions repeated fixed migration" duration=38.459µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078944256Z level=info msg="Executing migration" id="managed folder permissions library panel actions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.078978006Z level=info msg="Migration successfully executed" id="managed folder permissions library panel actions migration" duration=33.917µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.079415839Z level=info msg="Executing migration" id="migrate external alertmanagers to datsourcse"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.079452506Z level=info msg="Migration successfully executed" id="migrate external alertmanagers to datsourcse" duration=36.833µs
