edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.49216455Z level=info msg="Migration successfully executed" id="RBAC action name migrator" duration=311.417µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.492745008Z level=info msg="Executing migration" id="Add UID column to playlist"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.494876091Z level=info msg="Migration successfully executed" id="Add UID column to playlist" duration=2.131083ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.495531591Z level=info msg="Executing migration" id="Update uid column values in playlist"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.495570675Z level=info msg="Migration successfully executed" id="Update uid column values in playlist" duration=37.917µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.496035716Z level=info msg="Executing migration" id="Add index for uid in playlist"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.496343133Z level=info msg="Migration successfully executed" id="Add index for uid in playlist" duration=308.667µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.497047591Z level=info msg="Executing migration" id="update group index for alert rules"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.497159133Z level=info msg="Migration successfully executed" id="update group index for alert rules" duration=111.834µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.497873133Z level=info msg="Executing migration" id="managed folder permissions alert actions repeated migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.497920966Z level=info msg="Migration successfully executed" id="managed folder permissions alert actions repeated migration" duration=48.084µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.49854805Z level=info msg="Executing migration" id="admin only folder/dashboard permission"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.4987313Z level=info msg="Migration successfully executed" id="admin only folder/dashboard permission" duration=183.708µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.499269841Z level=info msg="Executing migration" id="add action column to seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.501526425Z level=info msg="Migration successfully executed" id="add action column to seed_assignment" duration=2.256709ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.502219466Z level=info msg="Executing migration" id="add scope column to seed_assignment"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.504299091Z level=info msg="Migration successfully executed" id="add scope column to seed_assignment" duration=2.078625ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.504976925Z level=info msg="Executing migration" id="remove unique index builtin_role_role_name before nullable update"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.505294883Z level=info msg="Migration successfully executed" id="remove unique index builtin_role_role_name before nullable update" duration=318.125µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.50591605Z level=info msg="Executing migration" id="update seed_assignment role_name column to nullable"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.528027133Z level=info msg="Migration successfully executed" id="update seed_assignment role_name column to nullable" duration=22.098583ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.529088841Z level=info msg="Executing migration" id="add unique index builtin_role_name back"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.529511758Z level=info msg="Migration successfully executed" id="add unique index builtin_role_name back" duration=423.334µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.530303925Z level=info msg="Executing migration" id="add unique index builtin_role_action_scope"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5306143Z level=info msg="Migration successfully executed" id="add unique index builtin_role_action_scope" duration=309.375µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.531404175Z level=info msg="Executing migration" id="add primary key to seed_assigment"
